history_id,team_id,team_name,parent_team_id,effective_from,effective_to,status,note
TSH-0001,ORG-CEO,대표실,,2015-01-01,,ACTIVE,최상위 조직
TSH-0002,DIV-PRODUCT,Product본부,ORG-CEO,2015-01-01,,ACTIVE,제품 전략과 기획
TSH-0003,DIV-PLATFORM,Platform본부,ORG-CEO,2015-01-01,,ACTIVE,제품 개발과 인프라
TSH-0004,DIV-GROWTH,Growth본부,ORG-CEO,2015-01-01,,ACTIVE,매출과 고객 성장
TSH-0005,DIV-CORP,Corporate본부,ORG-CEO,2015-01-01,,ACTIVE,경영지원과 운영
TSH-0006,TEAM-PM,프로덕트기획팀,DIV-PRODUCT,2018-01-01,,ACTIVE,DIV-PRODUCT 산하 팀
TSH-0007,TEAM-DESIGN,프로덕트디자인팀,DIV-PRODUCT,2018-01-01,,ACTIVE,DIV-PRODUCT 산하 팀
TSH-0008,TEAM-GTM,그로스마케팅팀,DIV-PRODUCT,2018-01-01,,ACTIVE,DIV-PRODUCT 산하 팀
TSH-0009,TEAM-CONTENT,콘텐츠전략팀,DIV-PRODUCT,2018-01-01,,ACTIVE,DIV-PRODUCT 산하 팀
TSH-0010,TEAM-INSIGHT,사용자리서치팀,DIV-PRODUCT,2018-01-01,,ACTIVE,DIV-PRODUCT 산하 팀
TSH-0011,TEAM-FRONTEND,프론트엔드팀,DIV-PLATFORM,2018-01-01,,ACTIVE,DIV-PLATFORM 산하 팀
TSH-0012,TEAM-BACKEND,백엔드플랫폼팀,DIV-PLATFORM,2018-01-01,,ACTIVE,DIV-PLATFORM 산하 팀
TSH-0013,TEAM-DATAPLATFORM,데이터플랫폼팀,DIV-PLATFORM,2018-01-01,,ACTIVE,DIV-PLATFORM 산하 팀
TSH-0014,TEAM-INFRA,인프라팀,DIV-PLATFORM,2018-01-01,,ACTIVE,DIV-PLATFORM 산하 팀
TSH-0015,TEAM-SECURITY,보안팀,DIV-PLATFORM,2018-01-01,,ACTIVE,DIV-PLATFORM 산하 팀
TSH-0016,TEAM-SALES,영업전략팀,DIV-GROWTH,2018-01-01,,ACTIVE,DIV-GROWTH 산하 팀
TSH-0017,TEAM-CS,고객성공팀,DIV-GROWTH,2018-01-01,,ACTIVE,DIV-GROWTH 산하 팀
TSH-0018,TEAM-PARTNER,파트너십팀,DIV-GROWTH,2018-01-01,,ACTIVE,DIV-GROWTH 산하 팀
TSH-0019,TEAM-REGION,지역운영팀,DIV-GROWTH,2018-01-01,,ACTIVE,DIV-GROWTH 산하 팀
TSH-0020,TEAM-CRM,CRM운영팀,DIV-GROWTH,2018-01-01,,ACTIVE,DIV-GROWTH 산하 팀
TSH-0021,TEAM-HR,인사팀,DIV-CORP,2018-01-01,,ACTIVE,DIV-CORP 산하 팀
TSH-0022,TEAM-FINANCE,재무팀,DIV-CORP,2018-01-01,,ACTIVE,DIV-CORP 산하 팀
TSH-0023,TEAM-LEGAL,법무팀,DIV-CORP,2018-01-01,,ACTIVE,DIV-CORP 산하 팀
TSH-0024,TEAM-BIZOPS,경영기획팀,DIV-CORP,2018-01-01,,ACTIVE,DIV-CORP 산하 팀
TSH-0025,TEAM-ITSUPPORT,IT지원팀,DIV-CORP,2018-01-01,,ACTIVE,DIV-CORP 산하 팀
